Fold,F1,Accuracy,Precision,Recall,True Negative,False Positive,False Negative,True Positive
1,0.49678800856531047,0.6608946608946609,0.3706070287539936,0.7532467532467533,342,197,38,116
2,0.6903648269410664,0.548431105047749,0.9866310160427807,0.5309352517985612,33,5,326,369
3,0.6980609418282548,0.6929577464788732,0.8102893890675241,0.6131386861313869,240,59,159,252
4,0.6948717948717948,0.6730769230769231,0.7698863636363636,0.633177570093458,219,81,157,271
5,0.6165413533834586,0.7228260869565217,0.6007326007326007,0.6332046332046332,368,109,95,164
6,0.6081871345029239,0.7204450625869263,0.5324232081911263,0.7090909090909091,362,137,64,156
7,0.7201051248357424,0.7058011049723757,0.8253012048192772,0.6386946386946387,237,58,155,274
8,0.5990783410138248,0.640495867768595,0.5685131195335277,0.6331168831168831,270,148,113,195
9,0.704,0.7423398328690808,0.6853582554517134,0.7236842105263158,313,101,84,220
10,0.7797062750333779,0.7736625514403292,0.836676217765043,0.73,272,57,108,292
