,1,2,3,4,5,6,7,8,9,10
ComParE13_LLD_25Hz_F0final_sma_amean,yes,yes,no,no,no,yes,yes,yes,no,yes
ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean,no,no,no,no,yes,no,no,no,no,no
ComParE13_LLD_25Hz_pcm_zcr_sma_amean,no,no,yes,no,yes,no,no,no,no,no
ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_amean,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ComParE13_LLD_25Hz_audspecRasta_lengthL1norm_sma_amean,no,no,no,yes,no,no,no,no,yes,yes
ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
ComParE13_LLD_25Hz_audspec_lengthL1norm_sma_amean,no,no,no,no,no,yes,no,yes,no,no
ComParE13_LLD_25Hz_voicingFinalUnclipped_sma_amean,no,yes,no,yes,no,no,no,no,no,yes
ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_amean,no,no,yes,no,no,no,no,yes,yes,no
ComParE13_LLD_25Hz_pcm_RMSenergy_sma_amean,no,yes,no,yes,no,no,yes,no,yes,yes
ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ComParE13_LLD_25Hz_mfcc_sma[1]_amean,yes,no,yes,no,yes,no,no,no,no,no
ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_amean,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ComParE13_LLD_25Hz_logHNR_sma_amean,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean,no,no,no,no,yes,no,no,no,no,no
ComParE13_LLD_25Hz_pcm_Mag_harmonicity_sma_amean,yes,no,no,no,no,yes,yes,no,no,yes
ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
