n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Train R^2,Val R^2
100,,2,1,sqrt,0.8918173489305525,-0.007196983310887339
100,,2,1,log2,0.8918173489305525,-0.007196983310887339
100,,2,3,sqrt,0.739944499400593,-0.00298467739625542
100,,2,3,log2,0.739944499400593,-0.00298467739625542
100,,2,5,sqrt,0.6147977706063898,0.0022870272408117122
100,,2,5,log2,0.6147977706063898,0.0022870272408117122
100,,5,1,sqrt,0.8416947678517573,-0.005343348262005987
100,,5,1,log2,0.8416947678517573,-0.005343348262005987
100,,5,3,sqrt,0.739944499400593,-0.00298467739625542
100,,5,3,log2,0.739944499400593,-0.00298467739625542
100,,5,5,sqrt,0.6147977706063898,0.0022870272408117122
100,,5,5,log2,0.6147977706063898,0.0022870272408117122
100,,10,1,sqrt,0.7405579947928438,-0.0044658340688130795
100,,10,1,log2,0.7405579947928438,-0.0044658340688130795
100,,10,3,sqrt,0.6760882411633314,0.00040572939910556995
100,,10,3,log2,0.6760882411633314,0.00040572939910556995
100,,10,5,sqrt,0.6147977706063898,0.0022870272408117122
100,,10,5,log2,0.6147977706063898,0.0022870272408117122
100,10,2,1,sqrt,0.3934698254482306,0.01581545991966532
100,10,2,1,log2,0.3934698254482306,0.01581545991966532
100,10,2,3,sqrt,0.3676209480309351,0.015034214793179845
100,10,2,3,log2,0.3676209480309351,0.015034214793179845
100,10,2,5,sqrt,0.3449252243331763,0.017110629079385375
100,10,2,5,log2,0.3449252243331763,0.017110629079385375
100,10,5,1,sqrt,0.382509659432592,0.015996824988858994
100,10,5,1,log2,0.382509659432592,0.015996824988858994
100,10,5,3,sqrt,0.3676209480309351,0.015034214793179845
100,10,5,3,log2,0.3676209480309351,0.015034214793179845
100,10,5,5,sqrt,0.3449252243331763,0.017110629079385375
100,10,5,5,log2,0.3449252243331763,0.017110629079385375
100,10,10,1,sqrt,0.3591824400398559,0.013898506688641354
100,10,10,1,log2,0.3591824400398559,0.013898506688641354
100,10,10,3,sqrt,0.35466247829748887,0.014918313741285483
100,10,10,3,log2,0.35466247829748887,0.014918313741285483
100,10,10,5,sqrt,0.3449252243331763,0.017110629079385375
100,10,10,5,log2,0.3449252243331763,0.017110629079385375
100,20,2,1,sqrt,0.8393049720393918,-0.004285537766886427
100,20,2,1,log2,0.8393049720393918,-0.004285537766886427
100,20,2,3,sqrt,0.711588255634635,-0.001642246474762199
100,20,2,3,log2,0.711588255634635,-0.001642246474762199
100,20,2,5,sqrt,0.6004715960163051,0.00596873537251974
100,20,2,5,log2,0.6004715960163051,0.00596873537251974
100,20,5,1,sqrt,0.7926209959766574,-0.0009375305675878409
100,20,5,1,log2,0.7926209959766574,-0.0009375305675878409
100,20,5,3,sqrt,0.711588255634635,-0.001642246474762199
100,20,5,3,log2,0.711588255634635,-0.001642246474762199
100,20,5,5,sqrt,0.6004715960163051,0.00596873537251974
100,20,5,5,log2,0.6004715960163051,0.00596873537251974
100,20,10,1,sqrt,0.7020313038538808,0.000246874537913333
100,20,10,1,log2,0.7020313038538808,0.000246874537913333
100,20,10,3,sqrt,0.6525120073548318,0.0017363195678185672
100,20,10,3,log2,0.6525120073548318,0.0017363195678185672
100,20,10,5,sqrt,0.6004715960163051,0.00596873537251974
100,20,10,5,log2,0.6004715960163051,0.00596873537251974
200,,2,1,sqrt,0.8942272371692515,-0.002383006750509187
200,,2,1,log2,0.8942272371692515,-0.002383006750509187
200,,2,3,sqrt,0.7417441249238458,0.0009980132013888477
200,,2,3,log2,0.7417441249238458,0.0009980132013888477
200,,2,5,sqrt,0.6164978273835063,0.006465246526181134
200,,2,5,log2,0.6164978273835063,0.006465246526181134
200,,5,1,sqrt,0.8441023770814218,-0.0022288950372145065
200,,5,1,log2,0.8441023770814218,-0.0022288950372145065
200,,5,3,sqrt,0.7417441249238458,0.0009980132013888477
200,,5,3,log2,0.7417441249238458,0.0009980132013888477
200,,5,5,sqrt,0.6164978273835063,0.006465246526181134
200,,5,5,log2,0.6164978273835063,0.006465246526181134
200,,10,1,sqrt,0.742698470970202,0.0007344965972606365
200,,10,1,log2,0.742698470970202,0.0007344965972606365
200,,10,3,sqrt,0.6780377742345601,0.003963478278361865
