Fold,Groups,Selected Features,Train R^2,Train MSE,Train MAE,Val R^2,Val MSE,Val MAE
1,"[1, 2, 3, 4, 5, 6, 8, 9, 10]","['ComParE13_LLD_25Hz_pcm_zcr_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[2]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[8]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[9]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[10]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff75.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_harmonicity_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean']",0.7367511955523511,0.2628807958673399,0.39508539779888185,0.06125598951377209,0.9374702737013074,0.7835762321871631
2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]","['ComParE13_LLD_25Hz_pcm_zcr_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[1]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[5]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff75.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff90.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_harmonicity_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean']",0.7430378314772033,0.25660328281256933,0.38663908744012304,0.021331399486425706,0.9773297925785351,0.8524151114811894
3,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","['ComParE13_LLD_25Hz_pcm_zcr_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[2]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[8]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[9]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[10]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff75.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_harmonicity_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean']",0.7382118545660401,0.2614226329752404,0.392471865046792,0.02759981499315889,0.9710663027228813,0.8061998679458754
4,"[1, 2, 3, 4, 5, 7, 8, 9, 10]","['ComParE13_LLD_25Hz_audspecRasta_lengthL1norm_sma_amean', 'ComParE13_LLD_25Hz_pcm_zcr_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[2]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[13]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[14]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[20]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff75.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean']",0.7335373301874104,0.266091091872039,0.3955927193626009,-0.009982840926580083,1.008582032548041,0.814130447689838
5,"[1, 2, 3, 5, 6, 7, 8, 9, 10]","['ComParE13_LLD_25Hz_pcm_RMSenergy_sma_amean', 'ComParE13_LLD_25Hz_pcm_zcr_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[1]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[8]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[9]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[10]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean']",0.744022285925887,0.2556207572370093,0.3887082080159536,-0.02058914337983242,1.0191736244569753,0.785260114833918
6,"[1, 2, 3, 4, 6, 7, 8, 9, 10]","['ComParE13_LLD_25Hz_pcm_RMSenergy_sma_amean', 'ComParE13_LLD_25Hz_pcm_zcr_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[1]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[8]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_fband250-650_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff90.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean']",0.7552397020117078,0.24441914223765032,0.3762689012618736,0.01385162574383969,0.9847749085538535,0.7797340666663013
7,"[1, 2, 3, 4, 5, 6, 7, 9, 10]","['ComParE13_LLD_25Hz_audSpec_Rfilt_sma[1]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[8]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[9]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[11]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[12]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[13]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff90.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean']",0.7314847008317327,0.2681414381391036,0.3979506953250694,0.03002353978101202,0.968612217658905,0.7891921944756334
8,"[2, 3, 4, 5, 6, 7, 8, 9, 10]","['ComParE13_LLD_25Hz_audspec_lengthL1norm_sma_amean', 'ComParE13_LLD_25Hz_pcm_RMSenergy_sma_amean', 'ComParE13_LLD_25Hz_pcm_zcr_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[1]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[8]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff75.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean']",0.747524484854387,0.2521239867365303,0.3828441325920401,-0.001595721809378281,1.0001870077140065,0.8007298381287702
9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]","['ComParE13_LLD_25Hz_logHNR_sma_amean', 'ComParE13_LLD_25Hz_pcm_zcr_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[1]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[8]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[9]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff90.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean']",0.7392077090622602,0.26042940741602677,0.3971184423107114,1.0101267612694365e-05,0.9985754858628931,0.74665562585528
10,"[1, 2, 4, 5, 6, 7, 8, 9, 10]","['ComParE13_LLD_25Hz_pcm_zcr_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[1]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[2]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[11]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff75.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_harmonicity_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_mfcc_sma[6]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean']",0.7484241547694779,0.2512267575636898,0.3868041348243761,-0.11192463265614183,1.110310808806133,0.8413069951731535
