n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,rfe_features,pca_components,splits,Train R^2,Val R^2
200,20,5,5,,20,20,7,0.7725766833422496,0.01076820869765798
100,10,10,1,sqrt,20,15,7,0.4753604815229972,0.03386933018710747
200,10,2,5,,15,15,5,0.5446911243411867,-0.01800187098134547
100,,2,5,,15,15,5,0.757237933235225,-0.0370863448545629
300,,2,5,sqrt,20,20,5,0.695515207161429,0.009175038902793652
300,,5,1,log2,20,15,6,0.8675027087729802,0.009603540960543258
100,20,5,5,log2,15,15,5,0.6504321046580573,0.007149000618656221
100,,5,3,sqrt,10,20,5,0.7748438957869571,-0.002902065640682161
100,,10,1,sqrt,10,15,6,0.7597988719922925,0.002740669111952513
200,10,10,1,sqrt,20,20,7,0.4876239949883865,0.03973925410093261
100,,10,5,sqrt,20,20,5,0.6925714843917945,0.004798735318431713
300,10,10,5,,15,15,6,0.55005966597912,-0.019957745846759578
300,10,2,3,,10,15,5,0.54086074955876,-0.01861837941204214
300,,5,1,sqrt,20,15,5,0.8685115075414513,0.0006526257580604655
300,,10,5,log2,20,20,7,0.6784879935632888,0.03624866146250887
300,20,2,3,,15,15,6,0.8355665502462931,-0.02992649137113425
100,,2,3,,10,15,6,0.8175933286101955,-0.007423319422568353
300,10,2,3,log2,10,20,7,0.4418558843428965,0.027242165767032422
200,20,10,1,,10,20,7,0.8028264242160633,-0.005998047665849533
100,,2,5,log2,20,20,7,0.6749631764154683,0.03503665154452042
100,10,2,3,log2,20,15,6,0.49481330848626354,0.02163404161291288
300,10,10,3,,20,15,7,0.572128975060697,0.026765904958161175
200,,5,1,sqrt,10,20,7,0.85536902069378,0.01938805269655432
300,10,5,3,log2,10,20,5,0.4490412371772622,0.01796904120073355
200,,2,3,sqrt,10,20,7,0.7745269668912597,0.019958791841797892
200,20,10,3,,15,15,6,0.789672679223477,-0.03243596544190578
300,10,10,3,sqrt,20,15,7,0.47207119110433615,0.04016169581091638
300,20,2,1,sqrt,15,15,6,0.8820051544179576,0.005263392193077587
200,20,2,1,sqrt,15,20,7,0.8765888471843664,0.027563032181142724
100,,5,5,sqrt,20,15,7,0.6762432894798786,0.03378691238158148
