Fold,F1,Accuracy,Precision,Recall,True Negative,False Positive,False Negative,True Positive
1,0.6521264994547438,0.5648021828103683,0.7994652406417112,0.5506445672191529,115,75,244,299
2,0.5310734463276836,0.5382475660639777,0.6123778501628665,0.4688279301745636,199,119,213,188
3,0.5429740791268759,0.5334261838440112,0.5195822454308094,0.5685714285714286,184,184,151,199
4,0.0903954802259887,0.5353535353535354,0.04819277108433735,0.7272727272727273,355,316,6,16
5,0.6296715741789355,0.5483425414364641,0.86875,0.4937833037300178,119,42,285,278
6,0.6448484848484849,0.598079561042524,0.7800586510263929,0.5495867768595041,170,75,218,266
7,0.5170068027210885,0.5176630434782609,0.6089743589743589,0.4491725768321513,191,122,233,190
8,0.6381418092909535,0.5934065934065934,0.6814621409921671,0.6,171,122,174,261
9,0.5071428571428571,0.6112676056338028,0.40804597701149425,0.6698113207547169,292,206,70,142
10,0.3157894736842105,0.5165289256198347,0.24107142857142858,0.4576271186440678,294,255,96,81
