abv,beer_id,brewer_id,beer_name,beer_style,review_appearance,review_aroma,review_overall,review_palate,profile_name,review_taste,text,time
7.0,2511,287,Bell's Cherry Stout,American Stout,4.5,4.0,4.5,4.0,blaheath,4.5," Batch 8144	Pitch black in color with a 1/2 finger head. Aroma is of dark fruits, chocolate, and roasted malts. Taste is dominated by tart cherry with a light acidity plus chocolate/roasted malt and coffee. Medium mouthfeel and a short sweet finish. At two years old, I think that this still has the staying power for a few years to come. I can't wait to find out.",2009-10-05 21:31:48
5.7,19736,9790,Duck-Rabbit Porter,American Porter,4.5,4.0,4.5,4.0,GJ40,4.0," Sampled from a 12oz bottle in a standard pint glass starting at 48 degrees. Bottle says enjoy by 11/09.		Pours a deep dark brown with a hint of light coming through. Based on what does come through, it seems to have good clarity. The thick beige head settles quickly into a smaller but more durable covering. The aroma has hints of toast, raisins, chocolate and coffee. The flavor is complex with a balanced mix of roasted malt, chocolate and coffee with a hint of fruit. The consistency is very creamy with a nice low carbonation.		This is a tasty beer that I plan to have more regularly.",2009-10-05 21:32:09
4.8,11098,3182,Fürstenberg Premium Pilsener,German Pilsener,4.0,3.0,3.0,3.0,biegaman,3.5," Haystack yellow with an energetic group of bubbles that unremittingly shoot their way up to the surface. Complexion is clean, clarity is good - so far so great. Last on the checklist: a pillowy white head. Or nearly one; this capping isn't ideal but, overlooking a few thin spots, it suffices. Frstenberg scores well on the pilsner appearance test. 		Premium Pilsner is suppose to be ""pleasantly hoppy"". I think the brewery needs a proof-reader for their write-ups; this is (un)pleasantly (un)hoppy. Bread, crackers and a tinge of corn don't come close to the zesty, earthy, pungent and floral hoppiness that is typical of great pilsners. It's clean enough but a pilsner not reeking of hops is not a pilsner at all. 		That said, it does taste a little like them. Only a little, mind you, but significantly more than most large-scale German lagers that make their way over the pond. Still, crackers and white bread dominate and green, spicy cones are basically an afterthought. The beer is rather lean, a little more maltiness would have likely made up for that fact.		I notice the can doesn't mention anything about the German purity law. Curious. The shelf life is alarming. There is some taste of adjuncts, less noted than in most imports but definitely more noted than in most pilsners. Again, hop bitterness is missed. Is this refreshing and quaffable? Sure. But colder temperatures definitely work in its favor. 		The brewery insists: ""this is how one of the best beers in the world should taste!"" What to say to that? One of? What about the others? At least in so far as pilsners go this isn't too far from what the world's best should taste like... but it's not exactly that close either. I insist: ""this is what one of the world's most run-of-the-mill beers should taste like!""",2009-10-05 21:32:13
9.5,28577,3818,Unearthly (Imperial India Pale Ale),American Double / Imperial IPA,4.0,4.0,4.0,4.0,nick76,4.0," The aroma has pine, wood, citrus, caramel, and incense. The appearance is hazy amber with a foamy head. The flavor is like the aroma with a robust hop character as well as plenty of sweet malt to balance. The palate is smooth and full. Overall this is a rich beer despite not being super complex.",2009-10-05 21:32:37
5.8,398,119,Wolaver's Pale Ale,American Pale Ale (APA),4.0,3.0,4.0,3.5,champ103,3.0," A: Pours a slightly hazy golden/orange color. A two finger white head forms and leaves some sticky lace behind.	S: A very subtle aroma. Oily, soapy, and floral hops. Some sweetness. A mineral aroma as well. Also some perfume? This is a little odd.	T: Similar to the nose. Floral and grassy hops. Sweet caramel malt. Soap, and a mineral flavor.	M/D: A medium body and carbonation. Pretty easy to drink. An easy choice for a session beer.		This is a good beer. Not my favorite from the brewery, but worth a try.",2009-10-05 21:33:14
7.0,966,365,Pike Street XXXXX Stout,American Stout,4.0,4.0,3.5,4.0,sprucetip,4.5," From notes. Pours black, thin mocha head fades fast, plenty of lacing. SMELL is roasted barley, black patent, some sweetness, hint of heat. TASTE is roasty flavors up front, some sweetness from the malty base through the middle, then roasty and hoppy bitterness emerging for the finish. Coffee, chocolate and alchohol flavors add some complexity. FEEL is thick,full, rich and chewy. Some bitternes in the finish. OVERALL easy enough to drink for a full bodied, hopped up west coast stout. Flavor is bold for a moderately sized brew.",2009-10-05 21:33:48
6.2,53128,1114,Smokin' Amber Kegs Gone Wild,American Amber / Red Ale,3.5,4.0,4.5,4.0,Deuane,4.5," An American amber with the addition of smoked malt then aged with an addition of brett---&gt;WTF?!		A-Deep copper with a thin tan head that reduced to a thin veil and left spotty lace.		S-Smoky and tart, very interesting. Like a smoked sausage with sauerkraut!		T-Tart zing up front with a light, smoky smoothness underneath. Smooth, with a wonderful, complex melding of flavours		M-Medium-light body, very complex with nice lingering flavours. A dry, cabernet sauvignon type finish.		D-So complex, interesting and odd it works! Awesome stuff. Sometimes the craziest things work....this one sure did!",2009-10-05 21:34:24
4.8,1669,256,Great White,Witbier,4.5,4.5,4.5,4.5,n0rc41,4.5," Ok, for starters great white I believe will be in my top 3 all time favorites! I have been drinking great white for many years now. I have drank it in the cafe in eureka, bars in my home town, bottles in my garage. 		Appearance is great, nice yellow with a smooth head that goes down fast.		Smells of citrus nicely but not too overwhelming.		the taste was great! i loved it from the start, the citrus is great flavor but not over whelming. went down very smooth with not too long lasting alcohol taste. 		I would give this a better drinkability review do to the fact that i cant ever just have one of these. working in my garage I found myself drinking alot more of them then I should. Great white goes awesome with spicy foods! I believe great white is the pringles of beers. once you pop you cant stop! great beer!",2009-10-05 21:34:29
6.7,6549,140,Northern Hemisphere Harvest Wet Hop Ale,American IPA,4.0,4.0,4.0,4.0,david18,4.0," I like all of Sierra Nevada's beers but felt that they had not offered a great, highly hoppy beer that i've been crazy about. The pale ale is great and I love the stout and porter but their ipas have not been great. 		This one, however, is very good and has a perfect balance of hops and malt. Darker than most ipas it has a great brown/copper color, intense hop flavor, good carbonation and intense aroma.		Very good.",2009-10-05 21:34:31
6.5,13824,743,Oktoberfest,Vienna Lager,3.0,2.5,2.5,2.5,Seanibus,2.5," This actually winds up coming out like a light pumpkin beer, although I see no evidence they were actually aiming for that. 		Pours clear copper with fizzy carbonation, though the head collapses with dismaying rapidity. The aroma is strong at first - honeyish and spicy, though it fades incredibly fast, leaving only the slightest whiff of malt. The flavor is a bit better, round with some clove and cinnamon coming from the malt. The finish, however, is a bit bitter and sour. The mouthfeel has some of the creaminess one gets in a pumpkin beer.		This one doesn't do it for me - it doesn't have any of the crisp snap of a well-executed Oktoberfest. It feels flabby and round and the satisfying malt burn turns quickly into a sour aftertaste.",2009-10-05 21:35:09
11.8,43670,423,Bourbon Barrel Quad (BBQ),Quadrupel (Quad),4.5,4.0,4.5,4.5,blaheath,4.5," Burnt amber in color with a 1/4"" head. Aroma is dominated by oak, followed by cherries, vanilla and bourbon. Taste is medium bodied with a medium level of carbonation, heavy new oak, vanilla, cherry, cigar, mint, noticeable alcohol, and a semi-sweet/dry finish. Recommended.",2009-10-05 21:36:03
6.3,53129,14365,Seneca Pale Ale,American Pale Ale (APA),3.0,3.5,4.5,4.0,Daniellobo,4.0," A very pleasing PA leaning strongly on the IPA side. 		Presentation: 16 Oz. draft offering on the brew pub. Menu offers a short description about a balanced brew, warning that this assertively hoppy brew is a bit more bitter and aromatic than an American style ale. Alc. by Vol. noted at 6.3%. Served in a pint shaker glass. 		A - Medium amber color with a shy touch of foam (Another pint that has been served almost filled up to the rim...) Good lacing over a foamy layer and ring. 		S - Resiny feel and citrus freshness. 		T - It's a differing kind of balance, nice hop resins, grapefruit and a gentle but not that rich malt backbone doing enough to hold the brew but not making itself felt much. 		M - Smooth and medium bodied with good but not overwhelming carbonation 		D - Very drinkable and stimulating in the same league of some reference IPAs and assertive PAs. 		Notes: Not only there was little worth calling pale in this brew, but it seemed that in terms of style it should switch places with the one offered labeled as an IPA, which is the far more nuanced and maybe balanced brew. This one was a rather tasty and pleasing IPA, or PA leaning heavily on the IPA side. For me it wasn't even a borderline decision, but this wasn't a troublesome choice, quite the contrary. After tasting all their nice house offerings of the day this was by far the most pleasing brew and fresh growler made the way back home with me.",2009-10-05 21:37:48
,4765,1500,Brown Hound Brown Ale,English Brown Ale,4.0,4.0,4.0,4.0,CheckMate,4.0," 1/2 gallon growler obtained at Whole Foods in Portland, ME. pours a hazy amber/brown color with a half inch of off white head that dissipated after a few minutes. scents of chocolate, earthiness from the hops, maltiness, and a hint of diacetyl. tastes of chocolate, malt, earthiness, citrus and butter play on the tongue. the diacetyl is very slight and balances the other tastes in the beer. light to moderately carbonated and leaves a slight earthy aftertaste. the first sip invites another. 		Cheers!",2009-10-05 21:38:21
8.0,652,24,Traquair Jacobite,Scotch Ale / Wee Heavy,4.5,4.5,4.5,4.5,drtth,4.5," Lightly chilled and poured into a Duvel glass. A glass of cold water on the side to sip from periodically. 		Appearance: The beer pours out a dark brown with reddish highlights. The beer would be clear if not so dark. There is a  to "" thick dark tan head which recedes fairly soon. Sipping leaves a ring and a combination of leggy and spotted lacing. Eventually the head recedes to a ring of foam with a light surface layer of foam and sipping leaves some scattered lacing for as long as the ring persists.		Smell: Until the nose adapts, the aroma is clearly and definitely present, even 18"" away. Up close the aroma is rich and complex and contains dark caramel mixed with brown sugar and molasses. The coriander is clearly present here and seems to be mixed with traces of dark fruits (raisins and plums).		Taste: The rich malt flavor starts with a dark caramel character and then turns into brown sugar and milk chocolate. Soon the spiciness of the coriander blended with the fruitiness of raisins and plums shows up on the scene. Throughout, the sweetness is quite restrained and subtle.		Mouthfeel: The mouth feel is medium bodied and silky smooth with soft carbonation that gently tickles the mouth. The finish is long and eventually turns dry, but without any real bitterness. There are neither hops nor alcohol showing here.		Drinkability: This is definitely a beer for sipping, and if I had another I'd be hard pressed not to open it tonight. But as things go, I'll surely be looking to have this one again. The complexity of this beer more than justifies the price to have as an occasional treat.",2009-10-05 21:40:18
5.2,53130,1114,El Hefe Dunkle Gone Wild,Dunkelweizen,3.5,3.5,4.0,3.5,Deuane,4.0," A-Very deep, dark brown with a thin tan head that reduces to a thin veil and leaves spotty lace.		S-Lightly tart with notes of sour cherry and oak.		T-Dry, like brut champagne. Is there really hefe yeast in this? The brett must have eaten it all! Dry and tart with an oak finish. Merlot like notes in the drying finish.		M-Medium-light bodied and did I say it was dry? Lingering oak bitterness.		D-Interesting and oh, it's dry too! So dry and oaky---&gt;nice! I couldn't drink a ton of this but to sit and enjoy and glass, yes!",2009-10-05 21:42:35
5.2,2266,378,Bar Harbor Blueberry Ale,Fruit / Vegetable Beer,3.0,3.0,2.0,3.0,smanders,3.0," Not usually a ""fruity beer"" kinda guy but my brother offered and you never want to turn down a free beer, right? 		I should've known by the aroma that this wasn't going to knock my socks off but I tasted it anyway. If I'm going to interrupt my regular beer drinking with a fruit beer I expect something that really tastes like fruit; fresh, fragrant, almost healthy. This wasn't it. The minimum amount of blueberry noted was quickly forgotten once the liquid left the palate. I knew there was a reason I didn't drink fruity beers often...",2009-10-05 21:43:23
8.0,36179,3818,Hoppe (Imperial Extra Pale Ale),American Double / Imperial IPA,4.0,3.0,4.0,3.5,nick76,3.0," The aroma is papery with citrus, yeast, and sour dough bread. The appearance is hazy gold orange with a large head. The flavor is like the aroma with a bitter, cardboard finish. The palate is smooth but no outstanding. Overall this is just one of those underwhelming beers that does not suffer from quality problems it is just not that outstanding.",2009-10-05 21:43:23
7.6,99,142,Spaten Optimator,Doppelbock,3.0,4.0,4.0,3.0,drcarver,3.5," I have had this beer numerous times in the past and love it. This is a review for the past bottle I had.		A - medium brown body with 1 finger of off white head. No lacing, little retention.		S - Smells like a good pizzeria. Malt, spice, breadiness, and a hint of smoke.		T - almost soy sauce like flavor with roast malt throughout		M - Surprisingly light-medium bodied with an astringency short lived aftertaste.		D - Love it and could easily kill several in one session. Although I was shocked to see the ABV in the 7s.",2009-10-05 21:43:36
